index,timestamp,symbol,side,qty,price,notional,fee,cash_delta,slip_bps
0,2025-02-20T22:53:14.669196+00:00,MSFT,buy,1.000000,208.1228,208.12,0.1041,-208.23,32.9175
1,2025-02-20T22:53:14.669196+00:00,NVDA,sell,1.000000,137.8667,137.87,0.0689,137.80,8.2114
2,2025-02-20T22:53:14.669196+00:00,AAPL,sell,1.000000,218.5985,218.60,0.1093,218.49,7.3837
3,2025-02-21T00:53:14.669196+00:00,NVDA,buy,1.000000,145.9529,145.95,0.0730,-146.03,94.9573
4,2025-02-21T02:53:14.669196+00:00,MSFT,sell,1.000000,194.9470,194.95,0.0975,194.85,51.6958
5,2025-02-21T02:53:14.669196+00:00,AAPL,buy,1.000000,210.6000,210.60,0.1053,-210.71,55.9916
6,2025-02-21T04:53:14.669196+00:00,MSFT,buy,1.000000,192.3559,192.36,0.0962,-192.45,10.7173
7,2025-02-21T04:53:14.669196+00:00,AAPL,buy,1.000000,203.6705,203.67,0.1018,-203.77,36.4916
8,2025-02-21T08:53:14.669196+00:00,MSFT,sell,1.000000,198.0429,198.04,0.0990,197.94,83.4775
9,2025-02-21T08:53:14.669196+00:00,AAPL,sell,1.000000,195.0700,195.07,0.0975,194.97,49.9576
10,2025-02-21T10:53:14.669196+00:00,MSFT,buy,1.000000,199.2304,199.23,0.0996,-199.33,40.3357
11,2025-02-21T10:53:14.669196+00:00,AAPL,sell,1.000000,192.2238,192.22,0.0961,192.13,72.6236
12,2025-02-21T14:53:14.669196+00:00,MSFT,sell,1.000000,193.2700,193.27,0.0966,193.17,65.2964
13,2025-02-21T14:53:14.669196+00:00,AAPL,buy,1.000000,197.1760,197.18,0.0986,-197.27,84.6961
14,2025-02-21T14:53:14.669196+00:00,AAPL,buy,1.000000,199.0215,199.02,0.0995,-199.12,84.6961
15,2025-02-21T18:53:14.669196+00:00,AAPL,sell,1.000000,183.9157,183.92,0.0920,183.82,52.1575
16,2025-02-21T18:53:14.669196+00:00,MSFT,buy,1.000000,215.4872,215.49,0.1077,-215.59,25.4573
17,2025-02-21T20:53:14.669196+00:00,AAPL,sell,1.000000,180.8929,180.89,0.0904,180.80,67.9257
18,2025-02-21T22:53:14.669196+00:00,MSFT,sell,1.000000,212.3296,212.33,0.1062,212.22,31.9415
19,2025-02-22T00:53:14.669196+00:00,AAPL,buy,1.000000,185.3021,185.30,0.0927,-185.39,36.9482
20,2025-02-22T02:53:14.669196+00:00,MSFT,buy,1.000000,239.9409,239.94,0.1200,-240.06,104.4747
21,2025-02-22T02:53:14.669196+00:00,AAPL,sell,1.000000,179.7014,179.70,0.0899,179.61,68.4527
22,2025-02-22T04:53:14.669196+00:00,AAPL,buy,1.000000,181.0200,181.02,0.0905,-181.11,44.5425
23,2025-02-22T04:53:14.669196+00:00,AAPL,buy,1.000000,183.7147,183.71,0.0919,-183.81,44.5425
24,2025-02-22T06:53:14.669196+00:00,MSFT,sell,1.000000,227.0338,227.03,0.1135,226.92,38.8836
25,2025-02-22T08:53:14.669196+00:00,AAPL,sell,1.000000,176.9541,176.95,0.0885,176.87,92.1552
26,2025-02-22T08:53:14.669196+00:00,AAPL,sell,1.000000,171.4553,171.46,0.0857,171.37,92.1551
27,2025-02-22T10:53:14.669196+00:00,AAPL,buy,1.000000,186.7424,186.74,0.0934,-186.84,48.0148
28,2025-02-22T10:53:14.669196+00:00,AAPL,buy,1.000000,186.9031,186.90,0.0935,-187.00,48.0148
29,2025-02-22T10:53:14.669196+00:00,MSFT,buy,1.000000,231.2634,231.26,0.1156,-231.38,7.5056
30,2025-02-22T12:53:14.669196+00:00,AAPL,sell,1.000000,190.5350,190.54,0.0953,190.44,70.9141
31,2025-02-22T12:53:14.669196+00:00,MSFT,sell,1.000000,226.0233,226.02,0.1130,225.91,54.8554
32,2025-02-22T12:53:14.669196+00:00,AAPL,sell,1.000000,185.9718,185.97,0.0930,185.88,70.9141
33,2025-02-22T14:53:14.669196+00:00,AAPL,buy,1.000000,195.1950,195.19,0.0976,-195.29,71.9568
