file,episode,metric_type,metric_value,run_name,timestamp,global_step,last_reward,avg_reward_last_10,last_sharpe,avg_sharpe_last_10,max_sharpe,last_profit,avg_profit_last_10,max_profit,last_actor_loss,avg_actor_loss,last_critic_loss,avg_critic_loss
best_advanced_model.pth,-1,unknown,0,unknown,unknown,0,0.5799230669649785,0.8002965687972224,1.100921571611587,1.3509030074559714,2.6281419442874956,0.5380893662018803,0.7563657004508858,1.7496071121052792,0.0025061042979359627,0.0013165706590189076,0.001220849808305502,0.0012607339437818155
best_production_model.pth,-1,unknown,0,unknown,unknown,0,0.23988961362400987,0.11836983383430713,0.967154716073895,0.3381323366776825,1.7410069811402582,0.18104027635650213,0.0628572144530505,0.3598362912033778,-0.00015361404803115875,-1.1855869409913566e-05,0.0001428053219569847,0.00014642532500147354
checkpoint_ep100.pth,-1,unknown,0,unknown,unknown,0,1.688964753562888,2.0126747381001957,2.403970034914707,2.5739924074249965,3.3274726504195336,1.6342449045442062,1.953287698398574,2.8785832701656013,0.008369989693164825,0.0010743918774824123,0.0038479152135550976,0.0026685975067084655
checkpoint_ep1000.pth,-1,unknown,0,unknown,unknown,0,0.15691057660175078,0.12502284823718054,0.4978644895572562,0.35002465481339107,1.7410069811402582,0.09999971002781545,0.06707329364781994,0.3598362912033778,0.00013381720054894686,-0.00010135724885344643,0.00015054580580908805,0.00012861604482168333
checkpoint_ep1200.pth,-1,unknown,0,unknown,unknown,0,0.014520414618981771,0.10763551430527543,-0.19208554353720644,0.26790554682107887,1.7410069811402582,-0.04322679615166664,0.05087840581833365,0.3598362912033778,3.26881418004632e-05,-3.6238733937352666e-05,0.00013313521048985422,0.00012046965755871497
checkpoint_ep1400.pth,-1,unknown,0,unknown,unknown,0,-0.1721805416770031,0.0730270085830963,-0.4437526613518566,0.10555233661794913,4.36329312710839,-0.20730219585404644,0.03333254856623624,4.800310069919291,-1.2061559573339764e-06,-9.640509240940177e-06,0.00030001415871083736,0.000553415090253111
checkpoint_ep1600.pth,-1,unknown,0,unknown,unknown,0,-0.07082415119612691,0.01238054056165627,-0.17096193247939914,-0.036996150953850816,4.36329312710839,-0.10612599902619463,-0.0284062691842573,4.800310069919291,-2.995243812620174e-05,-8.628057365172026e-05,0.0003810340422205627,0.00041845378480502403
checkpoint_ep200.pth,-1,unknown,0,unknown,unknown,0,0.5753744306534656,0.48795618202786806,1.0477308191434864,0.8839629574228528,2.6281419442874956,0.5329510111218836,0.4465722915810776,1.7496071121052792,0.019675863906741142,0.01066743890218504,0.0012674406170845032,0.001072022385778837
checkpoint_ep400.pth,-1,unknown,0,unknown,unknown,0,-0.0753359217119423,0.4537551948195671,-0.17915986675662954,0.8291651295377795,2.6281419442874956,-0.1036646567638671,0.41893466907996535,1.7496071121052792,0.006962141487747431,0.008583433962485287,0.0008045671856962144,0.0009564610267989338
checkpoint_ep50.pth,-1,unknown,0,unknown,unknown,0,1.1976532052328959,1.4244370887500672,1.9124903608323718,2.096842685308382,2.57447660922086,1.1484358524636744,1.3681946010942745,1.8339353225063124,0.009637073613703251,-0.004759134439955233,0.0020885909907519817,0.001640782115282491
checkpoint_ep600.pth,-1,unknown,0,unknown,unknown,0,0.42850015047889944,0.3103118843807974,0.8655784356319179,0.6262068306097137,2.6281419442874956,0.38739572703000624,0.27252477986636053,1.7496071121052792,0.031019924208521843,0.018598337892617566,0.0014526655431836843,0.0012810366484336554
checkpoint_ep800.pth,-1,unknown,0,unknown,unknown,0,0.3900620847701278,0.07005392708112768,0.7776093339499934,0.14744201431862516,2.6281419442874956,0.3546459792658742,0.03948830776343659,1.7496071121052792,0.00011557643301784992,0.0012251959433342563,0.0010669119656085968,0.0008036979290773161
single_batch_model.pth,-1,unknown,0,unknown,unknown,0,,,,,,,,,,,,
